Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
1,SIMULATION,file.cio,simulation,titldum,titldum,delimited,1,1,character,titldum,titldum parameter from file.cio header,yes,text,string,0,999,default,yes
2,SIMULATION,file.cio,simulation,in_sim,in_sim,delimited,2,3,real,in_sim,in_sim parameter from file.cio,yes,none,real,0,1,1,yes
3,BASIN,file.cio,simulation,in_basin,in_basin,delimited,2,5,real,in_basin,in_basin parameter from file.cio,yes,none,real,0,1,1,yes
4,CLIMATE,file.cio,simulation,in_cli,in_cli,delimited,2,7,real,in_cli,in_cli parameter from file.cio,yes,none,real,0,1,1,yes
5,CONNECT,file.cio,simulation,in_con,in_con,delimited,2,9,real,in_con,in_con parameter from file.cio,yes,none,real,0,1,1,yes
6,CHANNEL,file.cio,simulation,in_cha,in_cha,delimited,2,11,real,in_cha,in_cha parameter from file.cio,yes,none,real,0,1,1,yes
7,RESERVOIR,file.cio,simulation,in_res,in_res,delimited,2,13,real,in_res,in_res parameter from file.cio,yes,none,real,0,1,1,yes
8,ROUTING,file.cio,simulation,in_ru,in_ru,delimited,2,15,real,in_ru,in_ru parameter from file.cio,yes,none,real,0,1,1,yes
9,HRU,file.cio,simulation,in_hru,in_hru,delimited,2,17,real,in_hru,in_hru parameter from file.cio,yes,none,real,0,1,1,yes
10,GENERAL,file.cio,simulation,in_exco,in_exco,delimited,2,19,real,in_exco,in_exco parameter from file.cio,yes,none,real,0,1,1,yes
11,GENERAL,file.cio,simulation,in_rec,in_rec,delimited,2,21,real,in_rec,in_rec parameter from file.cio,yes,none,real,0,1,1,yes
12,GENERAL,file.cio,simulation,in_delr,in_delr,delimited,2,23,real,in_delr,in_delr parameter from file.cio,yes,none,real,0,1,1,yes
13,AQUIFER,file.cio,simulation,in_aqu,in_aqu,delimited,2,25,real,in_aqu,in_aqu parameter from file.cio,yes,none,real,0,1,1,yes
14,GENERAL,file.cio,simulation,in_herd,in_herd,delimited,2,27,real,in_herd,in_herd parameter from file.cio,yes,none,real,0,1,1,yes
15,SIMULATION,file.cio,simulation,in_watrts,in_watrts,delimited,2,29,real,in_watrts,in_watrts parameter from file.cio,yes,none,real,0,1,1,yes
16,GENERAL,file.cio,simulation,in_link,in_link,delimited,2,31,real,in_link,in_link parameter from file.cio,yes,none,real,0,1,1,yes
17,SIMULATION,file.cio,simulation,in_hyd,in_hyd,delimited,2,33,real,in_hyd,in_hyd parameter from file.cio,yes,none,real,0,1,1,yes
18,SIMULATION,file.cio,simulation,in_str,in_str,delimited,2,35,real,in_str,in_str parameter from file.cio,yes,none,real,0,1,1,yes
19,SIMULATION,file.cio,simulation,in_parmdb,in_parmdb,delimited,2,37,real,in_parmdb,in_parmdb parameter from file.cio,yes,none,real,0,1,1,yes
20,GENERAL,file.cio,simulation,in_ops,in_ops,delimited,2,39,real,in_ops,in_ops parameter from file.cio,yes,none,real,0,1,1,yes
21,MANAGEMENT,file.cio,simulation,in_lum,in_lum,delimited,2,41,real,in_lum,in_lum parameter from file.cio,yes,none,real,0,1,1,yes
22,GENERAL,file.cio,simulation,in_chg,in_chg,delimited,2,43,real,in_chg,in_chg parameter from file.cio,yes,none,real,0,1,1,yes
23,GENERAL,file.cio,simulation,in_init,in_init,delimited,2,45,real,in_init,in_init parameter from file.cio,yes,none,real,0,1,1,yes
24,SIMULATION,file.cio,simulation,in_sol,in_sol,delimited,2,47,real,in_sol,in_sol parameter from file.cio,yes,none,real,0,1,1,yes
25,SIMULATION,file.cio,simulation,in_cond,in_cond,delimited,2,49,real,in_cond,in_cond parameter from file.cio,yes,none,real,0,1,1,yes
26,SIMULATION,file.cio,simulation,in_regs,in_regs,delimited,2,51,real,in_regs,in_regs parameter from file.cio,yes,none,real,0,1,1,yes
27,GENERAL,file.cio,simulation,in_path_pcp,in_path_pcp,delimited,2,53,real,in_path_pcp,in_path_pcp parameter from file.cio,yes,none,real,0,1,1,yes
28,GENERAL,file.cio,simulation,in_path_tmp,in_path_tmp,delimited,2,55,real,in_path_tmp,in_path_tmp parameter from file.cio,yes,none,real,0,1,1,yes
29,GENERAL,file.cio,simulation,in_path_slr,in_path_slr,delimited,2,57,real,in_path_slr,in_path_slr parameter from file.cio,yes,none,real,0,1,1,yes
30,GENERAL,file.cio,simulation,in_path_hmd,in_path_hmd,delimited,2,59,real,in_path_hmd,in_path_hmd parameter from file.cio,yes,none,real,0,1,1,yes
31,GENERAL,file.cio,simulation,in_path_wnd,in_path_wnd,delimited,2,61,real,in_path_wnd,in_path_wnd parameter from file.cio,yes,none,real,0,1,1,yes
32,SIMULATION,time.sim,time_sim,time%day_start,time%day_start,simple,1,1,integer,time%day_start,time%day_start parameter from in_sim%time via time_read,no,day,int,0,999,1,yes
33,SIMULATION,time.sim,time_sim,time%yrc_start,time%yrc_start,simple,2,1,integer,time%yrc_start,time%yrc_start parameter from in_sim%time via time_read,no,day,int,0,999,1,yes
34,SIMULATION,time.sim,time_sim,time%day_end,time%day_end,simple,3,1,integer,time%day_end,time%day_end parameter from in_sim%time via time_read,no,day,int,0,999,1,yes
35,SIMULATION,time.sim,time_sim,time%yrc_end,time%yrc_end,simple,4,1,integer,time%yrc_end,time%yrc_end parameter from in_sim%time via time_read,no,day,int,0,999,1,yes
36,SIMULATION,time.sim,time_sim,time%step,time%step,simple,5,1,integer,time%step,time%step parameter from in_sim%time via time_read,no,none,int,0,999,1,yes
37,SIMULATION,print.prt,print_prt,pco%nyskip,pco%nyskip,unique,1,1,derived_type,pco%nyskip,pco%nyskip parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
38,SIMULATION,print.prt,print_prt,pco%day_start,pco%day_start,unique,2,1,integer,pco%day_start,pco%day_start parameter from in_sim%prt via basin_print_codes_read,no,day,int,0,999,1,yes
39,SIMULATION,print.prt,print_prt,pco%yrc_start,pco%yrc_start,unique,3,1,integer,pco%yrc_start,pco%yrc_start parameter from in_sim%prt via basin_print_codes_read,no,day,int,0,999,1,yes
40,SIMULATION,print.prt,print_prt,pco%day_end,pco%day_end,unique,4,1,integer,pco%day_end,pco%day_end parameter from in_sim%prt via basin_print_codes_read,no,day,int,0,999,1,yes
41,SIMULATION,print.prt,print_prt,pco%yrc_end,pco%yrc_end,unique,5,1,integer,pco%yrc_end,pco%yrc_end parameter from in_sim%prt via basin_print_codes_read,no,day,int,0,999,1,yes
42,SIMULATION,print.prt,print_prt,pco%int_day,pco%int_day,unique,6,1,integer,pco%int_day,pco%int_day parameter from in_sim%prt via basin_print_codes_read,no,day,int,0,999,1,yes
43,SIMULATION,print.prt,print_prt,pco%aa_numint,pco%aa_numint,unique,1,2,derived_type,pco%aa_numint,pco%aa_numint parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
44,SIMULATION,print.prt,print_prt,pco%aa_numint,pco%aa_numint,unique,1,3,derived_type,pco%aa_numint,pco%aa_numint parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
45,SIMULATION,print.prt,print_prt,"pco%aa_yrs, ii = 1, pco%aa_numint","pco%aa_yrs, ii = 1, pco%aa_numint",unique,2,3,integer,"pco%aa_yrs, ii = 1, pco%aa_numint","pco%aa_yrs, ii = 1, pco%aa_numint parameter from in_sim%prt via basin_print_codes_read",no,day,int,0,999,1,yes
46,SIMULATION,print.prt,print_prt,pco%csvout,pco%csvout,unique,1,4,derived_type,pco%csvout,pco%csvout parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
47,SIMULATION,print.prt,print_prt,pco%use_obj_labels,pco%use_obj_labels,unique,2,4,derived_type,pco%use_obj_labels,pco%use_obj_labels parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
48,SIMULATION,print.prt,print_prt,pco%cdfout,pco%cdfout,unique,3,4,derived_type,pco%cdfout,pco%cdfout parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
49,SIMULATION,print.prt,print_prt,pco%crop_yld,pco%crop_yld,unique,1,5,derived_type,pco%crop_yld,pco%crop_yld parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
50,SIMULATION,print.prt,print_prt,pco%mgtout,pco%mgtout,unique,2,5,derived_type,pco%mgtout,pco%mgtout parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
51,SIMULATION,print.prt,print_prt,pco%hydcon,pco%hydcon,unique,3,5,derived_type,pco%hydcon,pco%hydcon parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
52,SIMULATION,print.prt,print_prt,pco%fdcout,pco%fdcout,unique,4,5,derived_type,pco%fdcout,pco%fdcout parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
53,SIMULATION,print.prt,print_prt,pco%wb_bsn%d,pco%wb_bsn%d,unique,2,6,derived_type,pco%wb_bsn%d,pco%wb_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
54,SIMULATION,print.prt,print_prt,pco%wb_bsn%m,pco%wb_bsn%m,unique,3,6,derived_type,pco%wb_bsn%m,pco%wb_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
55,SIMULATION,print.prt,print_prt,pco%wb_bsn%y,pco%wb_bsn%y,unique,4,6,derived_type,pco%wb_bsn%y,pco%wb_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
56,SIMULATION,print.prt,print_prt,pco%wb_bsn%a,pco%wb_bsn%a,unique,5,6,derived_type,pco%wb_bsn%a,pco%wb_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
57,SIMULATION,print.prt,print_prt,pco%nb_bsn%d,pco%nb_bsn%d,unique,2,7,derived_type,pco%nb_bsn%d,pco%nb_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
