Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
1,GENERAL,file.cio,simulation,titldum,titldum,delimited,1,1,simulation,titldum,titldum parameter from file.cio,yes,none,string,0,999,default,yes
2,GENERAL,file.cio,simulation,name,name,delimited,2,2,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
3,SIMULATION,file.cio,simulation,in_sim,in_sim,delimited,3,3,simulation,in_sim,in_sim parameter from file.cio,yes,filename,string,0,1,1,yes
4,GENERAL,file.cio,simulation,name,name,delimited,4,4,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
5,BASIN,file.cio,simulation,in_basin,in_basin,delimited,5,5,simulation,in_basin,in_basin parameter from file.cio,yes,filename,string,0,1,1,yes
6,GENERAL,file.cio,simulation,name,name,delimited,6,6,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
7,CLIMATE,file.cio,simulation,in_cli,in_cli,delimited,7,7,simulation,in_cli,in_cli parameter from file.cio,yes,filename,string,0,1,1,yes
8,GENERAL,file.cio,simulation,name,name,delimited,8,8,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
9,CONNECT,file.cio,simulation,in_con,in_con,delimited,9,9,simulation,in_con,in_con parameter from file.cio,yes,filename,string,0,1,1,yes
10,GENERAL,file.cio,simulation,name,name,delimited,10,10,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
11,CHANNEL,file.cio,simulation,in_cha,in_cha,delimited,11,11,simulation,in_cha,in_cha parameter from file.cio,yes,filename,string,0,1,1,yes
12,GENERAL,file.cio,simulation,name,name,delimited,12,12,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
13,RESERVOIR,file.cio,simulation,in_res,in_res,delimited,13,13,simulation,in_res,in_res parameter from file.cio,yes,filename,string,0,1,1,yes
14,GENERAL,file.cio,simulation,name,name,delimited,14,14,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
15,GENERAL,file.cio,simulation,in_ru,in_ru,delimited,15,15,simulation,in_ru,in_ru parameter from file.cio,yes,filename,string,0,1,1,yes
16,GENERAL,file.cio,simulation,name,name,delimited,16,16,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
17,HRU,file.cio,simulation,in_hru,in_hru,delimited,17,17,simulation,in_hru,in_hru parameter from file.cio,yes,filename,string,0,1,1,yes
18,GENERAL,file.cio,simulation,name,name,delimited,18,18,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
19,GENERAL,file.cio,simulation,in_exco,in_exco,delimited,19,19,simulation,in_exco,in_exco parameter from file.cio,yes,filename,string,0,1,1,yes
20,GENERAL,file.cio,simulation,name,name,delimited,20,20,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
21,GENERAL,file.cio,simulation,in_rec,in_rec,delimited,21,21,simulation,in_rec,in_rec parameter from file.cio,yes,filename,string,0,1,1,yes
22,GENERAL,file.cio,simulation,name,name,delimited,22,22,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
23,GENERAL,file.cio,simulation,in_delr,in_delr,delimited,23,23,simulation,in_delr,in_delr parameter from file.cio,yes,filename,string,0,1,1,yes
24,GENERAL,file.cio,simulation,name,name,delimited,24,24,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
25,AQUIFER,file.cio,simulation,in_aqu,in_aqu,delimited,25,25,simulation,in_aqu,in_aqu parameter from file.cio,yes,filename,string,0,1,1,yes
26,GENERAL,file.cio,simulation,name,name,delimited,26,26,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
27,GENERAL,file.cio,simulation,in_herd,in_herd,delimited,27,27,simulation,in_herd,in_herd parameter from file.cio,yes,filename,string,0,1,1,yes
28,GENERAL,file.cio,simulation,name,name,delimited,28,28,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
29,GENERAL,file.cio,simulation,in_watrts,in_watrts,delimited,29,29,simulation,in_watrts,in_watrts parameter from file.cio,yes,filename,string,0,1,1,yes
30,GENERAL,file.cio,simulation,name,name,delimited,30,30,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
31,GENERAL,file.cio,simulation,in_link,in_link,delimited,31,31,simulation,in_link,in_link parameter from file.cio,yes,filename,string,0,1,1,yes
32,GENERAL,file.cio,simulation,name,name,delimited,32,32,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
33,GENERAL,file.cio,simulation,in_hyd,in_hyd,delimited,33,33,simulation,in_hyd,in_hyd parameter from file.cio,yes,filename,string,0,1,1,yes
34,GENERAL,file.cio,simulation,name,name,delimited,34,34,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
35,GENERAL,file.cio,simulation,in_str,in_str,delimited,35,35,simulation,in_str,in_str parameter from file.cio,yes,filename,string,0,1,1,yes
36,GENERAL,file.cio,simulation,name,name,delimited,36,36,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
37,GENERAL,file.cio,simulation,in_parmdb,in_parmdb,delimited,37,37,simulation,in_parmdb,in_parmdb parameter from file.cio,yes,filename,string,0,1,1,yes
38,GENERAL,file.cio,simulation,name,name,delimited,38,38,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
39,GENERAL,file.cio,simulation,in_ops,in_ops,delimited,39,39,simulation,in_ops,in_ops parameter from file.cio,yes,filename,string,0,1,1,yes
40,GENERAL,file.cio,simulation,name,name,delimited,40,40,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
41,GENERAL,file.cio,simulation,in_lum,in_lum,delimited,41,41,simulation,in_lum,in_lum parameter from file.cio,yes,filename,string,0,1,1,yes
42,GENERAL,file.cio,simulation,name,name,delimited,42,42,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
43,GENERAL,file.cio,simulation,in_chg,in_chg,delimited,43,43,simulation,in_chg,in_chg parameter from file.cio,yes,filename,string,0,1,1,yes
44,GENERAL,file.cio,simulation,name,name,delimited,44,44,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
45,GENERAL,file.cio,simulation,in_init,in_init,delimited,45,45,simulation,in_init,in_init parameter from file.cio,yes,filename,string,0,1,1,yes
46,GENERAL,file.cio,simulation,name,name,delimited,46,46,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
47,GENERAL,file.cio,simulation,in_sol,in_sol,delimited,47,47,simulation,in_sol,in_sol parameter from file.cio,yes,filename,string,0,1,1,yes
48,GENERAL,file.cio,simulation,name,name,delimited,48,48,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
49,CONNECT,file.cio,simulation,in_cond,in_cond,delimited,49,49,simulation,in_cond,in_cond parameter from file.cio,yes,filename,string,0,1,1,yes
50,GENERAL,file.cio,simulation,name,name,delimited,50,50,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
51,GENERAL,file.cio,simulation,in_regs,in_regs,delimited,51,51,simulation,in_regs,in_regs parameter from file.cio,yes,filename,string,0,1,1,yes
52,GENERAL,file.cio,simulation,name,name,delimited,52,52,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
53,GENERAL,file.cio,simulation,in_path_pcp,in_path_pcp,delimited,53,53,simulation,in_path_pcp,in_path_pcp parameter from file.cio,yes,filename,string,0,1,1,yes
54,GENERAL,file.cio,simulation,name,name,delimited,54,54,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
55,GENERAL,file.cio,simulation,in_path_tmp,in_path_tmp,delimited,55,55,simulation,in_path_tmp,in_path_tmp parameter from file.cio,yes,filename,string,0,1,1,yes
56,GENERAL,file.cio,simulation,name,name,delimited,56,56,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
57,GENERAL,file.cio,simulation,in_path_slr,in_path_slr,delimited,57,57,simulation,in_path_slr,in_path_slr parameter from file.cio,yes,filename,string,0,1,1,yes
58,GENERAL,file.cio,simulation,name,name,delimited,58,58,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
59,GENERAL,file.cio,simulation,in_path_hmd,in_path_hmd,delimited,59,59,simulation,in_path_hmd,in_path_hmd parameter from file.cio,yes,filename,string,0,1,1,yes
60,GENERAL,file.cio,simulation,name,name,delimited,60,60,simulation,name,name parameter from file.cio,no,filename,string,0,1,1,yes
61,GENERAL,file.cio,simulation,in_path_wnd,in_path_wnd,delimited,61,61,simulation,in_path_wnd,in_path_wnd parameter from file.cio,yes,filename,string,0,1,1,yes
62,SIMULATION,time.sim,time,time%day_start,time%day_start,delimited,1,1,time,time%day_start,time%day_start parameter from time.sim via time_read,no,none,integer,1,9999,1,yes
63,SIMULATION,time.sim,time,time%yrc_start,time%yrc_start,delimited,2,2,time,time%yrc_start,time%yrc_start parameter from time.sim via time_read,no,none,integer,1,9999,1,yes
64,SIMULATION,time.sim,time,time%day_end,time%day_end,delimited,3,3,time,time%day_end,time%day_end parameter from time.sim via time_read,no,none,integer,1,9999,1,yes
65,SIMULATION,time.sim,time,time%yrc_end,time%yrc_end,delimited,4,4,time,time%yrc_end,time%yrc_end parameter from time.sim via time_read,no,none,integer,1,9999,1,yes
66,SIMULATION,time.sim,time,time%step,time%step,delimited,5,5,time,time%step,time%step parameter from time.sim via time_read,no,none,string,0,999,default,yes
67,GENERAL,print.prt,print,ob_out%obtyp,ob_out%obtyp,delimited,1,1,print,ob_out(ii)%obtyp,ob_out%obtyp parameter from print.prt via object_read_output,no,none,string,0,999,default,yes
68,GENERAL,print.prt,print,ob_out%obtypno,ob_out%obtypno,delimited,2,2,print,ob_out(ii)%obtypno,ob_out%obtypno parameter from print.prt via object_read_output,no,none,string,0,999,default,yes
69,GENERAL,print.prt,print,ob_out%hydtyp,ob_out%hydtyp,delimited,3,3,print,ob_out(ii)%hydtyp,ob_out%hydtyp parameter from print.prt via object_read_output,no,none,string,0,999,default,yes
70,GENERAL,print.prt,print,ob_out%filename,ob_out%filename,delimited,4,4,print,ob_out(ii)%filename,ob_out%filename parameter from print.prt via object_read_output,no,m,real,0,999,0,yes
