input_file,line_in_file,position_in_file,component,old_row,new_row
aqu_catunit.def,1,1,titldum,"{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.def,2,1,mreg,"{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'mreg', 'Type': 'integer', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'mreg', 'Type': 'integer', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.def,3,1,header,"{'Line in File': '3', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '3', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.def,4,1,k,"{'Line in File': '4', 'Position in File': '1', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'k', 'Type': 'integer', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '4', 'Position in File': '1', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'k', 'Type': 'integer', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.def,4,3,area_ha,"{'Line in File': '4', 'Position in File': '3', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': 'acu_reg', 'Component': 'area_ha', 'Type': 'real', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_regs'}","{'Line in File': '4', 'Position in File': '3', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': 'acu_reg', 'Component': 'area_ha', 'Type': 'real', 'Dimensions': '-', 'Default': '0.', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_regs'}"
aqu_catunit.def,4,4,nspu,"{'Line in File': '4', 'Position in File': '4', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'nspu', 'Type': 'integer', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '4', 'Position in File': '4', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'nspu', 'Type': 'integer', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.ele,1,1,titldum,"{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.ele,2,1,header,"{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.ele,3,1,k,"{'Line in File': '3', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'k', 'Type': 'integer', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '3', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'k', 'Type': 'integer', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aqu_catunit.ele,3,2,name,"{'Line in File': '3', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'acu_elem', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_regs'}","{'Line in File': '3', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'acu_elem', 'Component': 'name', 'Type': 'character(len=16)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_regs'}"
