input_file,status,procedures_added,procedures_removed,read_sequence_changed,file_schema_changed
aqu_catunit.def,common,,,N,Y
aqu_catunit.ele,common,,,N,Y
aqu_cha.lin,common,,,N,Y
aquifer.aqu,common,,,N,Y
aquifer.con,common,,,N,Y
atmodep.cli,common,,,N,Y
basins_carbon.tes,common,,,N,Y
bmpuser.str,common,,,N,Y
cal_parms.cal,common,,,N,Y
calibration.cal,common,,,Y,Y
ch_catunit.def,common,,,N,Y
ch_reg.def,common,,,N,Y
ch_sed_budget.sft,common,,,N,Y
ch_sed_parms.sft,common,,,N,Y
chan-surf.lin,common,,,N,Y
chandeg.con,common,,,N,Y
channel-lte.cha,common,,,N,Y
channel.cha,common,,,N,Y
channel.con,common,,,N,Y
chem_app.ops,common,,,N,Y
cntable.lum,common,,,N,Y
co2_yr.dat,common,,,N,Y
codes.bsn,common,,,N,Y
codes.sft,common,,,N,Y
cons_practice.lum,common,,,N,Y
constituents.cs,common,,,N,Y
cs_aqu.ini,common,,,N,Y
cs_atmo.cli,common,,,N,Y
cs_channel.ini,common,,,N,Y
cs_hru.ini,common,,,N,Y
cs_irrigation,common,,,N,Y
cs_plants_boron,common,,,N,Y
cs_reactions,common,,,N,Y
cs_recall.rec,common,,,N,Y
cs_res,common,,,N,Y
cs_streamobs,common,,,N,Y
cs_uptake,common,,,N,Y
cs_urban,common,,,N,Y
delratio.con,common,,,N,Y
delratio.del,common,,dr_read,Y,Y
dr_hmet.del,common,,,N,Y
dr_om.del,common,,,N,Y
dr_path.del,common,,,N,Y
dr_pest.del,common,,,N,Y
dr_salt.del,common,,,N,Y
element.ccu,common,,,N,Y
exco.con,common,,,N,Y
exco.exc,common,,exco_read,Y,Y
exco_hmet.exc,common,,,N,Y
exco_om.exc,common,,,N,Y
exco_path.exc,common,,,N,Y
exco_pest.exc,common,,,N,Y
exco_salt.exc,common,,,N,Y
fertilizer.frt,common,,,N,Y
fertilizer.frt_cs,common,,,N,Y
field.fld,common,,,N,Y
file.cio,common,,,Y,Y
filterstrip.str,common,,,N,Y
fire.ops,common,,,N,Y
flo_con.dtl,common,,,N,Y
grassedww.str,common,,,N,Y
graze.ops,common,,,N,Y
gwflow.canals,common,,,N,Y
gwflow.cellhru,common,,,N,Y
gwflow.chancells,common,,,N,Y
gwflow.floodplain,common,,,N,Y
gwflow.hru_pump_observe,common,,,N,Y
gwflow.hrucell,common,,,N,Y
gwflow.huc12cell,common,,,N,Y
gwflow.input,common,,,Y,Y
gwflow.lsucell,common,,,N,Y
gwflow.pumpex,common,,,Y,Y
gwflow.rescells,common,,,N,Y
gwflow.solutes,common,,,N,Y
gwflow.streamobs,common,,,N,Y
gwflow.tiles,common,,,N,Y
gwflow.wetland,common,,,N,Y
harv.ops,common,,,N,Y
hmd(i)%filename,common,,,N,Y
hmd.cli,common,,,N,Y
hmet_hru.ini,common,,,N,Y
hru-data.hru,common,,,N,Y
hru-lte.con,common,,,N,Y
hru-lte.hru,common,,,N,Y
hru.con,common,,,Y,Y
hyd-sed-lte.cha,common,,,N,Y
hydrology.cha,common,,,N,Y
hydrology.hyd,common,,,N,Y
hydrology.res,common,,,Y,Y
hydrology.wet,common,,,Y,Y
initial.aqu,common,,,N,Y
initial.aqu_cs,common,,,N,Y
initial.cha,common,,,N,Y
initial.cha_cs,common,,,N,Y
initial.res,common,,,N,Y
irr.ops,common,,,N,Y
landuse.lum,common,,,N,Y
ls_reg.def,common,,,N,Y
ls_reg.ele,common,,,N,Y
ls_unit.def,common,,,N,Y
ls_unit.ele,common,,,N,Y
lsu_elem_upd,common,,,N,Y
lum.dtl,common,,,N,Y
management.sch,common,,,N,N
manure_allo.mnu,common,,,Y,Y
nutrients.cha,common,,,N,Y
nutrients.res,common,,,N,Y
nutrients.rte,common,,,N,Y
nutrients.sol,common,,,N,Y
object.cnt,common,,,N,Y
object.prt,common,,,N,Y
om_water.ini,common,,,N,Y
outlet.con,common,,,N,Y
ovn_table.lum,common,,,N,Y
parameters.bsn,common,,,N,Y
path_hru.ini,common,,,Y,Y
path_water.ini,common,,,Y,Y
pathogens.pth,common,,,N,Y
pcp(i)%filename,common,,,N,Y
pcp.cli,common,,,N,Y
pest.com,common,,,N,Y
pest_hru.ini,common,,,N,Y
pest_metabolite.pes,common,,,N,Y
pest_water.ini,common,,,Y,Y
pesticide.pes,common,,,N,Y
pet.cli,common,,,Y,Y
petm(i)%filename,common,,,N,Y
plant.ini,common,,,N,N
plant_gro.sft,common,,,N,Y
plant_parms.sft,common,,,N,Y
plants.plt,common,,,Y,Y
print.prt,common,,,Y,Y
puddle.ops,common,,,N,Y
rec_catunit.def,common,,,N,Y
rec_catunit.ele,common,,,N,Y
rec_cs(i)%filename,common,,,N,Y
rec_pest(i)%filename,common,,,N,Y
rec_reg.def,common,,,N,Y
rec_salt(i)%filename,common,,,N,Y
recall(i)%filename,common,,,Y,Y
recall.con,common,,,N,Y
recall.rec,common,,,N,Y
res_catunit.def,common,,,N,Y
res_catunit.ele,common,,,N,Y
res_conds.dat,common,,,N,Y
res_reg.def,common,,,N,Y
res_rel.dtl,common,,,N,Y
reservoir.con,common,,,N,Y
reservoir.res,common,,,N,Y
reservoir.res_cs,common,,,N,Y
rout_unit.con,common,,,N,Y
rout_unit.def,common,,,N,Y
rout_unit.ele,common,,,N,Y
