input_file,procedures,derived_types,derived_type_changes
aqu_catunit.def,aqu_read_elements,acu_reg,
aqu_catunit.ele,aqu_read_elements,acu_elem,
aqu_cha.lin,aqu2d_read,aq_ch,
aquifer.aqu,aqu_read,aquifer_database,
aquifer.con,hyd_read_connect,ob,
atmodep.cli,cli_read_atmodep,atmodep;atmodep_cont,
basins_carbon.tes,carbon_read,carbon_terrestrial_inputs,
bmpuser.str,scen_read_bmpuser,bmpuser_operation,
cal_parms.cal,cal_parm_read,calibration_parameters,
calibration.cal,cal_parmchg_read,cal_upd,
ch_catunit.def,ch_read_elements,ccu_out,
ch_reg.def,ch_read_elements,ccu_reg,
ch_sed_budget.sft,ch_read_orders_cal,chcal,
ch_sed_parms.sft,ch_read_parms_cal,ch_prms,
chan-surf.lin,overbank_read,sd_ch,
chandeg.con,hyd_read_connect,ob,
channel-lte.cha,sd_channel_read,sd_dat,
channel.cha,ch_read,channel_data_char_input,
channel.con,hyd_read_connect,ob,
chem_app.ops,mgt_read_chemapp,chemical_application_operation,
cntable.lum,cntbl_read,curvenumber_table,
co2_yr.dat,co2_read,co2_inc,
codes.bsn,basin_read_cc,basin_control_codes,
codes.sft,calsoft_read_codes,soft_calibration_codes,
cons_practice.lum,cons_prac_read,conservation_practice_table,
constituents.cs,constit_db_read,cs_db,
cs_aqu.ini,cs_aqu_read,cs_aqu_ini,
cs_atmo.cli,cli_read_atmodep_cs,atmodep_cs,
cs_channel.ini,cs_cha_read,cs_cha_ini,
cs_hru.ini,cs_hru_read,cs_soil_ini,
cs_irrigation,cs_irr_read,cs_water_irr,
cs_plants_boron,cs_plant_read,,
cs_reactions,cs_reactions_read,,
cs_recall.rec,recall_read_cs,rec_cs,
cs_res,res_read_csdb,reservoir_cs_data,
cs_streamobs,cs_cha_read,,
cs_uptake,cs_uptake_read,,
cs_urban,cs_urban_read,,
delratio.con,hyd_read_connect,ob,
delratio.del,dr_db_read;dr_read,delivery_ratio_datafiles;organic_mineral_hydrograph,
dr_hmet.del,dr_read_hmet,dr_hmet,
dr_om.del,dr_read_om,hyd_output,
