category,io_file,line_in_file,position_in_file,component,old_row,new_row
input,aqu_catunit.def,4,5,elem_cnt(isp),"{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_regs'}","{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_regs'}"
input,aqu_cha.lin,3,4,elem_cnt(isp),"{'Line in File': '3', 'Position in File': '4', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_link'}","{'Line in File': '3', 'Position in File': '4', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_link'}"
input,aquifer.con,3,14,obtyp_out,"{'Line in File': '3', 'Position in File': '14', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtyp_out', 'Type': 'character(len=3)', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '14', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtyp_out', 'Type': 'character(len=3)', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,aquifer.con,3,15,obtypno_out,"{'Line in File': '3', 'Position in File': '15', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtypno_out', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '15', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtypno_out', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,aquifer.con,3,16,htyp_out,"{'Line in File': '3', 'Position in File': '16', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'htyp_out', 'Type': 'character(len=3)', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '16', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'htyp_out', 'Type': 'character(len=3)', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,aquifer.con,3,17,frac_out,"{'Line in File': '3', 'Position in File': '17', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'frac_out', 'Type': 'real', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '17', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'frac_out', 'Type': 'real', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,atmodep.cli,10,1,nh4_rf,"{'Line in File': '10', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'nh4_rf', 'Type': 'real', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_cli'}","{'Line in File': '10', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'nh4_rf', 'Type': 'real', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_cli'}"
input,atmodep.cli,11,1,no3_rf,"{'Line in File': '11', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'no3_rf', 'Type': 'real', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_cli'}","{'Line in File': '11', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'no3_rf', 'Type': 'real', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_cli'}"
input,atmodep.cli,12,1,nh4_dry,"{'Line in File': '12', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'nh4_dry', 'Type': 'real', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_cli'}","{'Line in File': '12', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'nh4_dry', 'Type': 'real', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_cli'}"
input,atmodep.cli,13,1,no3_dry,"{'Line in File': '13', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'no3_dry', 'Type': 'real', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_cli'}","{'Line in File': '13', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'no3_dry', 'Type': 'real', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_cli'}"
