category,io_file,status,procedures_added,procedures_removed,read_sequence_changed,write_sequence_changed,io_sequence_changed,file_schema_changed,file_schema_lite_changed
input,carb_coefs.cbn,added,,,,,,,
input,gwflow.solutes.minerals,added,,,,,,,
input,manure.frt,added,,,,,,,
input,om_osrc.wal,added,,,,,,,
input,om_treat.wal,added,,,,,,,
input,om_use.wal,added,,,,,,,
input,out_src.wal,added,,,,,,,
input,outside_rcv.wal,added,,,,,,,
input,recall_db(irec)%org_min%name,added,,,,,,,
input,recall_db.rec,added,,,,,,,
input,satbuffer.str,added,,,,,,,
input,sed_nut.cha,added,,,,,,,
input,self%file_name,added,,,,,,,
input,soil_lyr_depths.sol,added,,,,,,,
input,water_canal.wal,added,,,,,,,
input,water_pipe.wal,added,,,,,,,
input,water_tower.wal,added,,,,,,,
input,water_treat.wal,added,,,,,,,
input,water_use.wal,added,,,,,,,
input,cs.res,removed,,,,,,,
input,out.key,removed,,,,,,,
input,recall(i)%filename,removed,,,,,,,
input,recall.rec,removed,,,,,,,
input,soil_plant.ini_cs,removed,,,,,,,
input,treatment.trt,removed,,,,,,,
output,"SWIFT/"" // trim(adjustl(recall_db(irec)%name))",added,,,,,,,
output,SWIFT/object_prt.swf,added,,,,,,,
output,SWIFT/recall.swf,added,,,,,,,
output,gwflow_balance_huc12_mon,added,,,,,,,
output,gwflow_flux_ppex,added,,,,,,,
output,in_con%hru_con,added,,,,,,,
output,unit_100100,added,,,,,,,
output,unit_1007,added,,,,,,,
output,unit_10108,added,,,,,,,
output,unit_2000,added,,,,,,,
output,unit_2001,added,,,,,,,
output,unit_2002,added,,,,,,,
output,unit_2003,added,,,,,,,
output,unit_2004,added,,,,,,,
output,unit_2005,added,,,,,,,
output,unit_2006,added,,,,,,,
output,unit_2007,added,,,,,,,
output,unit_2020,added,,,,,,,
output,unit_2021,added,,,,,,,
output,unit_2022,added,,,,,,,
output,unit_2023,added,,,,,,,
output,unit_2024,added,,,,,,,
output,unit_2025,added,,,,,,,
output,unit_2026,added,,,,,,,
output,unit_2027,added,,,,,,,
output,unit_2030,added,,,,,,,
output,unit_2031,added,,,,,,,
output,unit_2032,added,,,,,,,
output,unit_2033,added,,,,,,,
output,unit_2034,added,,,,,,,
output,unit_2035,added,,,,,,,
output,unit_2036,added,,,,,,,
output,unit_2037,added,,,,,,,
output,unit_2040,added,,,,,,,
output,unit_2041,added,,,,,,,
output,unit_2042,added,,,,,,,
output,unit_2043,added,,,,,,,
output,unit_2044,added,,,,,,,
output,unit_2045,added,,,,,,,
output,unit_2046,added,,,,,,,
output,unit_2047,added,,,,,,,
output,unit_2050,added,,,,,,,
