Variable,Classification,SWAT_File,Text_File_Structure,Line,Code,Data_Type,Units,Default,Min_Value,Max_Value,Description,Source_Procedure,Original_Name
id,GENERAL,animal.hrd,animal.hrd,1,R,int,,,,,Parameter from animal.hrd via inferred,inferred,id
name,GENERAL,animal.hrd,animal.hrd,2,R,char,,,,,Parameter from animal.hrd via inferred,inferred,name
iaq,CHANNEL,aqu_cha.lin,aqu_cha.lin,3,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,iaq
namedum,CHANNEL,aqu_cha.lin,aqu_cha.lin,4,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,namedum
nspu,CHANNEL,aqu_cha.lin,aqu_cha.lin,5,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,nspu
numb,CHANNEL,aqu_cha.lin,aqu_cha.lin,6,R,int,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,numb
aq_ch,CHANNEL,aqu_cha.lin,aqu_cha.lin,7,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,aq_ch(iaq)%name
nspu,CHANNEL,aqu_cha.lin,aqu_cha.lin,8,R,char,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,nspu
"elem_cnt, isp = 1, nspu",CHANNEL,aqu_cha.lin,aqu_cha.lin,9,R,int,,,,,Parameter from aqu_cha.lin via aqu2d_read,aqu2d_read,"elem_cnt(isp), isp = 1, nspu"
aqudb,AQUIFER,aquifer.aqu,aquifer.aqu,10,R,char,,,,,Parameter from aquifer.aqu via aqu_read,aqu_read,aqudb(i)
hru_db,CONNECT,aquifer.con,aquifer.con,11,R,char,,,,,Parameter from aquifer.con via hru_read,hru_read,hru_db(i)%dbsc
ch_dat_c,CONNECT,aquifer.con,aquifer.con,12,R,char,,,,,Parameter from aquifer.con via ch_read,ch_read,ch_dat_c(ichi)
res_dat_c,CONNECT,aquifer.con,aquifer.con,13,R,char,,,,,Parameter from aquifer.con via res_read,res_read,res_dat_c(ires)
aqudb,CONNECT,aquifer.con,aquifer.con,14,R,char,,,,,Parameter from aquifer.con via aqu_read,aqu_read,aqudb(i)
jday,CONNECT,aquifer.con,aquifer.con,15,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,16,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,17,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,18,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
jday1,CONNECT,aquifer.con,aquifer.con,19,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday1
mo1,CONNECT,aquifer.con,aquifer.con,20,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo1
day_mo,CONNECT,aquifer.con,aquifer.con,21,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,22,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
jday,CONNECT,aquifer.con,aquifer.con,23,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,24,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,25,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,26,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer.con,aquifer.con,27,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer.con,aquifer.con,28,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer.con,aquifer.con,29,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,"recall(i)%hd(jday1,iyrs)"
jday,CONNECT,aquifer.con,aquifer.con,30,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,31,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,32,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,33,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer.con,aquifer.con,34,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer.con,aquifer.con,35,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer.con,aquifer.con,36,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,"recall(i)%hd(mo1,iyrs)"
jday,CONNECT,aquifer.con,aquifer.con,37,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,jday
mo,CONNECT,aquifer.con,aquifer.con,38,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer.con,aquifer.con,39,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer.con,aquifer.con,40,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer.con,aquifer.con,41,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer.con,aquifer.con,42,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ob_name
ht1,CONNECT,aquifer.con,aquifer.con,43,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,ht1
iyr,CONNECT,aquifer.con,aquifer.con,44,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
istep,CONNECT,aquifer.con,aquifer.con,45,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,istep
iyr,CONNECT,aquifer.con,aquifer.con,46,R,int,,,,,Parameter from aquifer.con via recall_read,recall_read,iyr
istep,CONNECT,aquifer.con,aquifer.con,47,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,istep
recall,CONNECT,aquifer.con,aquifer.con,48,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,"recall(i)%hd(istep,iyrs)"
recall,CONNECT,aquifer.con,aquifer.con,49,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,recall(i)%name
recall,CONNECT,aquifer.con,aquifer.con,50,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,recall(i)%typ
recall,CONNECT,aquifer.con,aquifer.con,51,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,recall(i)%filename
rec_pest,CONNECT,aquifer.con,aquifer.con,52,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,rec_pest(i)%name
rec_pest,CONNECT,aquifer.con,aquifer.con,53,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,rec_pest(i)%typ
rec_pest,CONNECT,aquifer.con,aquifer.con,54,R,char,,,,,Parameter from aquifer.con via recall_read,recall_read,rec_pest(i)%filename
hru_db,CONNECT,aquifer2d.con,aquifer2d.con,55,R,char,,,,,Parameter from aquifer2d.con via hru_read,hru_read,hru_db(i)%dbsc
ch_dat_c,CONNECT,aquifer2d.con,aquifer2d.con,56,R,char,,,,,Parameter from aquifer2d.con via ch_read,ch_read,ch_dat_c(ichi)
res_dat_c,CONNECT,aquifer2d.con,aquifer2d.con,57,R,char,,,,,Parameter from aquifer2d.con via res_read,res_read,res_dat_c(ires)
aqudb,CONNECT,aquifer2d.con,aquifer2d.con,58,R,char,,,,,Parameter from aquifer2d.con via aqu_read,aqu_read,aqudb(i)
jday,CONNECT,aquifer2d.con,aquifer2d.con,59,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,60,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,61,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,62,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
jday1,CONNECT,aquifer2d.con,aquifer2d.con,63,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday1
mo1,CONNECT,aquifer2d.con,aquifer2d.con,64,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo1
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,65,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,66,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
jday,CONNECT,aquifer2d.con,aquifer2d.con,67,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,68,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,69,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
iyr,CONNECT,aquifer2d.con,aquifer2d.con,70,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,iyr
ob_typ,CONNECT,aquifer2d.con,aquifer2d.con,71,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_typ
ob_name,CONNECT,aquifer2d.con,aquifer2d.con,72,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,ob_name
recall,CONNECT,aquifer2d.con,aquifer2d.con,73,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,"recall(i)%hd(jday1,iyrs)"
jday,CONNECT,aquifer2d.con,aquifer2d.con,74,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,jday
mo,CONNECT,aquifer2d.con,aquifer2d.con,75,R,char,,,,,Parameter from aquifer2d.con via recall_read,recall_read,mo
day_mo,CONNECT,aquifer2d.con,aquifer2d.con,76,R,int,,,,,Parameter from aquifer2d.con via recall_read,recall_read,day_mo
