Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
1,SIMULATION,file.cio,file_cio,time_sim,time_sim,delimited,2,2,file_cio,time_sim,Defines simulation period,core,none,string,0,999,time.sim,yes
2,SIMULATION,file.cio,file_cio,print,print,delimited,3,2,file_cio,print,Defines which files will be printed and timestep,core,none,string,0,999,print.prt,yes
3,SIMULATION,file.cio,file_cio,obj_prt,obj_prt,delimited,4,2,file_cio,obj_prt,User defined output files,core,none,string,0,999,object.prt,yes
4,SIMULATION,file.cio,file_cio,obj_cnt,obj_cnt,delimited,5,2,file_cio,obj_cnt,Spatial object counts,core,none,string,0,999,object.cnt,yes
5,SIMULATION,file.cio,file_cio,cs_db,cs_db,delimited,6,2,file_cio,cs_db,Constituents files,core,none,string,0,999,constituents.cs,yes
6,SIMULATION,file.cio,file_cio,bsn_code,bsn_code,delimited,2,3,file_cio,bsn_code,Basin codes,core,none,string,0,999,codes.bsn,yes
7,SIMULATION,file.cio,file_cio,bsn_parm,bsn_parm,delimited,3,3,file_cio,bsn_parm,Basin parameters,core,none,string,0,999,parameters.bsn,yes
8,CONNECT,hru.con,hru_con,id,id,delimited,1,1,hru_con,id,HRU unique identifier,core,none,integer,0,999,0,yes
9,CONNECT,hru.con,hru_con,name,name,delimited,2,1,hru_con,name,HRU name,core,none,string,0,999,0,yes
10,CONNECT,hru.con,hru_con,gis_id,gis_id,delimited,3,1,hru_con,gis_id,GIS identifier,core,none,string,0,999,0,yes
11,CONNECT,hru.con,hru_con,area,area,delimited,4,1,hru_con,area,HRU area,core,ha,real,0,999,0,yes
12,CONNECT,hru.con,hru_con,lat,lat,delimited,5,1,hru_con,lat,Latitude,core,deg,real,0,999,0,yes
13,CONNECT,hru.con,hru_con,lon,lon,delimited,6,1,hru_con,lon,Longitude,core,deg,real,0,999,0,yes
14,CONNECT,hru.con,hru_con,elev,elev,delimited,7,1,hru_con,elev,Elevation,core,m,real,0,999,0,yes
15,CONNECT,channel.con,cha_con,id,id,delimited,1,1,channel_con,id,Channel unique identifier,core,none,integer,0,999,0,yes
16,CONNECT,channel.con,cha_con,name,name,delimited,2,1,channel_con,name,Channel name,core,none,string,0,999,0,yes
17,CONNECT,channel.con,cha_con,gis_id,gis_id,delimited,3,1,channel_con,gis_id,GIS identifier,core,none,string,0,999,0,yes
18,CONNECT,channel.con,cha_con,area,area,delimited,4,1,channel_con,area,Channel area,core,ha,real,0,999,0,yes
19,CONNECT,channel.con,cha_con,lat,lat,delimited,5,1,channel_con,lat,Latitude,core,deg,real,0,999,0,yes
20,CONNECT,channel.con,cha_con,lon,lon,delimited,6,1,channel_con,lon,Longitude,core,deg,real,0,999,0,yes
21,CONNECT,channel.con,cha_con,elev,elev,delimited,7,1,channel_con,elev,Elevation,core,m,real,0,999,0,yes
