Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
23,CHANNEL,cs_channel.ini,cs_channel,titldum,titldum,delimited,1,1,cs_channel_ini,titldum,Title line (dummy),no,none,string,0,999,0,yes
24,CHANNEL,cs_channel.ini,cs_channel,header,header,delimited,2,1,cs_channel_ini,header,Header line,no,none,string,0,999,default,yes
25,CHANNEL,cs_channel.ini,cs_channel,name,name,delimited,1,3,cs_channel_ini,name,Name or identifier,no,none,string,0,999,default,yes
26,CHANNEL,cs_channel.ini,cs_channel,conc,conc,delimited,2,3,cs_channel_ini,conc,Conc parameter,no,none,real,0,999,0,yes
27,CHANNEL,channel.cha,channel,titldum,titldum,delimited,1,1,channel_cha,titldum,Title line (dummy),no,none,string,0,999,0,yes
28,CHANNEL,channel.cha,channel,header,header,delimited,2,1,channel_cha,header,Header line,no,none,string,0,999,default,yes
29,CHANNEL,channel.cha,channel,path_init_name,path_init_name,delimited,1,3,channel_cha,path_init_name,Name or identifier parameter,no,none,string,0,999,default,yes
30,CHANNEL,channel.cha,channel,titldum,titldum,delimited,1,4,channel_cha,titldum,Title line (dummy),no,none,string,0,999,0,yes
31,CHANNEL,channel.cha,channel,water,water,delimited,2,4,channel_cha,water,Water parameter,no,none,real,0,999,0,yes
32,CHANNEL,channel.cha,channel,benthic,benthic,delimited,3,4,channel_cha,benthic,Benthic parameter,no,none,real,0,999,0,yes
221,CHANNEL,gwflow.chancells,gwflow,header,header,delimited,1,1,gwflow_chancells,header,Header line,no,none,string,0,999,default,yes
222,CHANNEL,gwflow.chancells,gwflow,riv_id,riv_id,delimited,2,1,gwflow_chancells,riv_id,Unique identifier parameter,no,none,integer,1,9999,1,yes
294,CHANNEL,sed_nut.cha,sed_nut,titldum,titldum,delimited,1,1,sed_nut_cha,titldum,Title line (dummy),no,none,string,0,999,0,yes
295,CHANNEL,sed_nut.cha,sed_nut,header,header,delimited,2,1,sed_nut_cha,header,Header line,no,none,string,0,999,default,yes
296,CHANNEL,sed_nut.cha,sed_nut,sd_chd1,sd_chd1,delimited,1,3,sed_nut_cha,sd_chd1,Sd Chd1 parameter,no,none,real,0,999,0,yes
376,CHANNEL,salt_channel.ini,salt_channel,titldum,titldum,delimited,1,1,salt_channel_ini,titldum,Title line (dummy),no,none,string,0,999,0,yes
377,CHANNEL,salt_channel.ini,salt_channel,header,header,delimited,2,1,salt_channel_ini,header,Header line,no,none,string,0,999,default,yes
378,CHANNEL,salt_channel.ini,salt_channel,name,name,delimited,1,3,salt_channel_ini,name,Name or identifier,no,none,string,0,999,default,yes
379,CHANNEL,salt_channel.ini,salt_channel,conc,conc,delimited,2,3,salt_channel_ini,conc,Conc parameter,no,none,real,0,999,0,yes
760,CHANNEL,initial.cha_cs,initial,titldum,titldum,delimited,1,1,initial_cha_cs,titldum,Title line (dummy),no,none,string,0,999,0,yes
761,CHANNEL,initial.cha_cs,initial,header,header,delimited,2,1,initial_cha_cs,header,Header line,no,none,string,0,999,default,yes
762,CHANNEL,initial.cha_cs,initial,ch_init_cs,ch_init_cs,delimited,1,3,initial_cha_cs,ch_init_cs,Ch Init Cs parameter,no,none,real,0,999,0,yes
931,CHANNEL,channel.cha,sdchannel,k,k,delimited,1,1,sd_channel_read,k,Hydraulic conductivity for sd channel read,no,none,real,0,999,0,yes
932,CHANNEL,channel.cha,sdchannel,sd_dat(i)%name,sd_dat(i)%name,delimited,1,1,sd_channel_read,sd_dat(i)%name,Name or label for sd channel read,no,none,string,0,999,default,yes
933,CHANNEL,channel.cha,sdchannel,sd_dat(i)%initc,sd_dat(i)%initc,delimited,1,1,sd_channel_read,sd_dat(i)%initc,Initial value for sd channel read,no,none,real,0,999,0,yes
934,CHANNEL,channel.cha,sdchannel,sd_dat(i)%hydc,sd_dat(i)%hydc,delimited,1,1,sd_channel_read,sd_dat(i)%hydc,hydc parameter for sd channel read,no,none,real,0,999,0,yes
935,CHANNEL,channel.cha,sdchannel,sd_dat(i)%sedc,sd_dat(i)%sedc,delimited,1,1,sd_channel_read,sd_dat(i)%sedc,sedc parameter for sd channel read,no,tons/ha,real,0,999,0,yes
936,CHANNEL,channel.cha,sdchannel,sd_dat(i)%nutc,sd_dat(i)%nutc,delimited,1,1,sd_channel_read,sd_dat(i)%nutc,nutc parameter for sd channel read,no,none,real,0,999,0,yes
284,CLIMATE,cs_atmo.cli,cs_atmo,station_name,station_name,delimited,1,1,cs_atmo_cli,station_name,Name or identifier parameter,no,none,string,0,999,default,yes
285,CLIMATE,cs_atmo.cli,cs_atmo,rf,rf,delimited,1,2,cs_atmo_cli,rf,Rf parameter,no,none,real,0,999,0,yes
286,CLIMATE,cs_atmo.cli,cs_atmo,dry,dry,delimited,1,3,cs_atmo_cli,dry,Dry parameter,no,none,real,0,999,0,yes
287,CLIMATE,cs_atmo.cli,cs_atmo,num,num,delimited,1,4,cs_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
288,CLIMATE,cs_atmo.cli,cs_atmo,num,num,delimited,1,5,cs_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
289,CLIMATE,cs_atmo.cli,cs_atmo,num,num,delimited,1,6,cs_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
290,CLIMATE,cs_atmo.cli,cs_atmo,num,num,delimited,1,7,cs_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
297,CLIMATE,salt_atmo.cli,salt_atmo,station_name,station_name,delimited,1,1,salt_atmo_cli,station_name,Name or identifier parameter,no,none,string,0,999,default,yes
298,CLIMATE,salt_atmo.cli,salt_atmo,salt_ion,salt_ion,delimited,1,2,salt_atmo_cli,salt_ion,Salt Ion parameter,no,none,real,0,999,0,yes
299,CLIMATE,salt_atmo.cli,salt_atmo,rf,rf,delimited,2,2,salt_atmo_cli,rf,Rf parameter,no,none,real,0,999,0,yes
300,CLIMATE,salt_atmo.cli,salt_atmo,salt_ion,salt_ion,delimited,1,3,salt_atmo_cli,salt_ion,Salt Ion parameter,no,none,real,0,999,0,yes
301,CLIMATE,salt_atmo.cli,salt_atmo,dry,dry,delimited,2,3,salt_atmo_cli,dry,Dry parameter,no,none,real,0,999,0,yes
302,CLIMATE,salt_atmo.cli,salt_atmo,salt_ion,salt_ion,delimited,1,4,salt_atmo_cli,salt_ion,Salt Ion parameter,no,none,real,0,999,0,yes
303,CLIMATE,salt_atmo.cli,salt_atmo,num,num,delimited,2,4,salt_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
304,CLIMATE,salt_atmo.cli,salt_atmo,salt_ion,salt_ion,delimited,1,5,salt_atmo_cli,salt_ion,Salt Ion parameter,no,none,real,0,999,0,yes
305,CLIMATE,salt_atmo.cli,salt_atmo,num,num,delimited,2,5,salt_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
306,CLIMATE,salt_atmo.cli,salt_atmo,salt_ion,salt_ion,delimited,1,6,salt_atmo_cli,salt_ion,Salt Ion parameter,no,none,real,0,999,0,yes
307,CLIMATE,salt_atmo.cli,salt_atmo,num,num,delimited,2,6,salt_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
308,CLIMATE,salt_atmo.cli,salt_atmo,salt_ion,salt_ion,delimited,1,7,salt_atmo_cli,salt_ion,Salt Ion parameter,no,none,real,0,999,0,yes
309,CLIMATE,salt_atmo.cli,salt_atmo,num,num,delimited,2,7,salt_atmo_cli,num,Num parameter,no,none,integer,1,9999,1,yes
786,CLIMATE,pet.cli,pet,titldum,titldum,delimited,1,1,pet_cli,titldum,Title line (dummy),no,none,string,0,999,0,yes
787,CLIMATE,pet.cli,pet,header,header,delimited,2,1,pet_cli,header,Header line,no,none,string,0,999,default,yes
4,GENERAL,satbuffer.str,satbuffer,titldum,titldum,delimited,1,1,satbuffer_str,titldum,Title line (dummy),no,none,string,0,999,0,yes
5,GENERAL,satbuffer.str,satbuffer,header,header,delimited,2,1,satbuffer_str,header,Header line,no,none,string,0,999,default,yes
6,GENERAL,satbuffer.str,satbuffer,satbuff_db,satbuff_db,delimited,1,3,satbuffer_str,satbuff_db,Satbuff Db parameter,no,none,real,0,999,0,yes
7,GENERAL,initial.aqu_cs,initial,titldum,titldum,delimited,1,1,initial_aqu_cs,titldum,Title line (dummy),no,none,string,0,999,0,yes
8,GENERAL,initial.aqu_cs,initial,header,header,delimited,2,1,initial_aqu_cs,header,Header line,no,none,string,0,999,default,yes
9,GENERAL,initial.aqu_cs,initial,aqu_init_dat_c_cs,aqu_init_dat_c_cs,delimited,1,3,initial_aqu_cs,aqu_init_dat_c_cs,Aqu Init Dat C Cs parameter,no,none,real,0,999,0,yes
33,GENERAL,gwflow.input,gwflow,header,header,delimited,1,1,gwflow_input,header,Header line,no,none,string,0,999,default,yes
34,GENERAL,gwflow.input,gwflow,grid_type,grid_type,delimited,2,1,gwflow_input,grid_type,Unique identifier parameter,no,none,integer,1,9999,1,yes
35,GENERAL,gwflow.input,gwflow,cell_size,cell_size,delimited,3,1,gwflow_input,cell_size,Cell Size parameter,no,none,real,0,999,0,yes
36,GENERAL,gwflow.input,gwflow,ncell,ncell,delimited,4,1,gwflow_input,ncell,Ncell parameter,no,none,real,0,999,0,yes
37,GENERAL,gwflow.input,gwflow,bc_type,bc_type,delimited,5,1,gwflow_input,bc_type,Bc Type parameter,no,none,real,0,999,0,yes
38,GENERAL,gwflow.input,gwflow,conn_type,conn_type,delimited,6,1,gwflow_input,conn_type,Conn Type parameter,no,none,real,0,999,0,yes
39,GENERAL,gwflow.input,gwflow,gw_soil_flag,gw_soil_flag,delimited,7,1,gwflow_input,gw_soil_flag,Gw Soil Flag parameter,no,none,logical,0,999,n,yes
40,GENERAL,gwflow.input,gwflow,gw_satx_flag,gw_satx_flag,delimited,8,1,gwflow_input,gw_satx_flag,Gw Satx Flag parameter,no,none,logical,0,999,n,yes
41,GENERAL,gwflow.input,gwflow,gw_pumpex_flag,gw_pumpex_flag,delimited,9,1,gwflow_input,gw_pumpex_flag,Gw Pumpex Flag parameter,no,none,logical,0,999,n,yes
42,GENERAL,gwflow.input,gwflow,gw_tile_flag,gw_tile_flag,delimited,10,1,gwflow_input,gw_tile_flag,Gw Tile Flag parameter,no,none,logical,0,999,n,yes
43,GENERAL,gwflow.input,gwflow,gw_res_flag,gw_res_flag,delimited,11,1,gwflow_input,gw_res_flag,Gw Res Flag parameter,no,none,logical,0,999,n,yes
44,GENERAL,gwflow.input,gwflow,gw_wet_flag,gw_wet_flag,delimited,12,1,gwflow_input,gw_wet_flag,Gw Wet Flag parameter,no,none,logical,0,999,n,yes
45,GENERAL,gwflow.input,gwflow,gw_fp_flag,gw_fp_flag,delimited,13,1,gwflow_input,gw_fp_flag,Gw Fp Flag parameter,no,none,logical,0,999,n,yes
46,GENERAL,gwflow.input,gwflow,gw_canal_flag,gw_canal_flag,delimited,14,1,gwflow_input,gw_canal_flag,Gw Canal Flag parameter,no,none,logical,0,999,n,yes
47,GENERAL,gwflow.input,gwflow,gw_solute_flag,gw_solute_flag,delimited,15,1,gwflow_input,gw_solute_flag,Gw Solute Flag parameter,no,none,logical,0,999,n,yes
48,GENERAL,gwflow.input,gwflow,gw_time_step,gw_time_step,delimited,16,1,gwflow_input,gw_time_step,Gw Time Step parameter,no,none,real,0,999,0,yes
49,GENERAL,gwflow.input,gwflow,out_cols,out_cols,delimited,17,1,gwflow_input,out_cols,Out Cols parameter,no,none,real,0,999,n,yes
50,GENERAL,gwflow.input,gwflow,nzones_aquK,nzones_aquK,delimited,18,1,gwflow_input,nzones_aquK,Nzones Aquk parameter,no,none,real,0,999,0,yes
51,GENERAL,gwflow.input,gwflow,nzones_aquSy,nzones_aquSy,delimited,19,1,gwflow_input,nzones_aquSy,Nzones Aqusy parameter,no,none,real,0,999,0,yes
52,GENERAL,gwflow.input,gwflow,nzones_strK,nzones_strK,delimited,20,1,gwflow_input,nzones_strK,Nzones Strk parameter,no,none,real,0,999,0,yes
53,GENERAL,gwflow.input,gwflow,nzones_strbed,nzones_strbed,delimited,21,1,gwflow_input,nzones_strbed,Nzones Strbed parameter,no,none,real,0,999,0,yes
54,GENERAL,gwflow.input,gwflow,gw_num_output,gw_num_output,delimited,22,1,gwflow_input,gw_num_output,Gw Num Output parameter,no,none,integer,1,9999,n,yes
55,GENERAL,gwflow.input,gwflow,gw_num_obs_wells,gw_num_obs_wells,delimited,23,1,gwflow_input,gw_num_obs_wells,Gw Num Obs Wells parameter,no,none,integer,1,9999,1,yes
56,GENERAL,gwflow.input,gwflow,gw_cell_obs_ss,gw_cell_obs_ss,delimited,24,1,gwflow_input,gw_cell_obs_ss,Gw Cell Obs Ss parameter,no,none,real,0,999,0,yes
57,GENERAL,gwflow.input,gwflow,gw_bed_change,gw_bed_change,delimited,25,1,gwflow_input,gw_bed_change,Gw Bed Change parameter,no,none,real,0,999,0,yes
58,GENERAL,gwflow.input,gwflow,grid_nrow,grid_nrow,delimited,1,26,gwflow_input,grid_nrow,Unique identifier parameter,no,none,integer,1,9999,1,yes
59,GENERAL,gwflow.input,gwflow,grid_ncol,grid_ncol,delimited,2,26,gwflow_input,grid_ncol,Unique identifier parameter,no,none,integer,1,9999,1,yes
60,GENERAL,gwflow.input,gwflow,gwflag_day,gwflag_day,delimited,1,27,gwflow_input,gwflag_day,Gwflag Day parameter,no,none,logical,0,999,n,yes
61,GENERAL,gwflow.input,gwflow,gwflag_yr,gwflag_yr,delimited,2,27,gwflow_input,gwflag_yr,Gwflag Yr parameter,no,none,logical,0,2100,n,yes
62,GENERAL,gwflow.input,gwflow,gwflag_aa,gwflag_aa,delimited,3,27,gwflow_input,gwflag_aa,Gwflag Aa parameter,no,none,logical,0,999,n,yes
63,GENERAL,gwflow.input,gwflow,dum,dum,delimited,1,28,gwflow_input,dum,Dum parameter,no,none,real,0,999,0,yes
64,GENERAL,gwflow.input,gwflow,zones_aquK,zones_aquK,delimited,2,28,gwflow_input,zones_aquK,Zones Aquk parameter,no,none,real,0,999,0,yes
65,GENERAL,gwflow.input,gwflow,dum,dum,delimited,1,29,gwflow_input,dum,Dum parameter,no,none,real,0,999,0,yes
66,GENERAL,gwflow.input,gwflow,zones_aquSy,zones_aquSy,delimited,2,29,gwflow_input,zones_aquSy,Zones Aqusy parameter,no,none,real,0,999,0,yes
67,GENERAL,gwflow.input,gwflow,dum,dum,delimited,1,30,gwflow_input,dum,Dum parameter,no,none,real,0,999,0,yes
68,GENERAL,gwflow.input,gwflow,zones_strK,zones_strK,delimited,2,30,gwflow_input,zones_strK,Zones Strk parameter,no,none,real,0,999,0,yes
69,GENERAL,gwflow.input,gwflow,dum,dum,delimited,1,31,gwflow_input,dum,Dum parameter,no,none,real,0,999,0,yes
70,GENERAL,gwflow.input,gwflow,zones_strbed,zones_strbed,delimited,2,31,gwflow_input,zones_strbed,Zones Strbed parameter,no,none,real,0,999,0,yes
71,GENERAL,gwflow.input,gwflow,,,delimited,1,32,gwflow_input,, parameter,no,none,real,0,999,0,yes
72,GENERAL,gwflow.input,gwflow,,,delimited,1,33,gwflow_input,, parameter,no,none,real,0,999,0,yes
73,GENERAL,gwflow.input,gwflow,,,delimited,1,38,gwflow_input,, parameter,no,none,real,0,999,0,yes
74,GENERAL,gwflow.input,gwflow,dum1,dum1,delimited,1,40,gwflow_input,dum1,Dum1 parameter,no,none,real,0,999,0,yes
75,GENERAL,gwflow.input,gwflow,stat,stat,delimited,2,40,gwflow_input,stat,Stat parameter,no,none,real,0,999,0,yes
76,GENERAL,gwflow.input,gwflow,elev,elev,delimited,3,40,gwflow_input,elev,Elevation,no,m,real,0,999,0,yes
77,GENERAL,gwflow.input,gwflow,thck,thck,delimited,4,40,gwflow_input,thck,Thck parameter,no,none,real,0,999,0,yes
78,GENERAL,gwflow.input,gwflow,K_zone,K_zone,delimited,5,40,gwflow_input,K_zone,K Zone parameter,no,none,real,0,999,0,yes
79,GENERAL,gwflow.input,gwflow,Sy_zone,Sy_zone,delimited,6,40,gwflow_input,Sy_zone,Sy Zone parameter,no,none,real,0,999,0,yes
80,GENERAL,gwflow.input,gwflow,delay,delay,delimited,7,40,gwflow_input,delay,Delay parameter,no,none,real,0,999,0,yes
81,GENERAL,gwflow.input,gwflow,exdp,exdp,delimited,8,40,gwflow_input,exdp,Exdp parameter,no,m,real,0,999,0,yes
82,GENERAL,gwflow.input,gwflow,init,init,delimited,9,40,gwflow_input,init,Init parameter,no,none,real,0,999,0,yes
83,GENERAL,gwflow.input,gwflow,xcrd,xcrd,delimited,10,40,gwflow_input,xcrd,Xcrd parameter,no,none,real,0,999,0,yes
84,GENERAL,gwflow.input,gwflow,ycrd,ycrd,delimited,11,40,gwflow_input,ycrd,Ycrd parameter,no,none,real,0,999,0,yes
85,GENERAL,gwflow.input,gwflow,area,area,delimited,12,40,gwflow_input,area,Area,no,ha,real,0,100000,0,yes
86,GENERAL,gwflow.input,gwflow,ncon,ncon,delimited,13,40,gwflow_input,ncon,Ncon parameter,no,none,real,0,999,0,yes
87,GENERAL,gwflow.input,gwflow,dum1,dum1,delimited,1,41,gwflow_input,dum1,Dum1 parameter,no,none,real,0,999,0,yes
88,GENERAL,gwflow.input,gwflow,stat,stat,delimited,2,41,gwflow_input,stat,Stat parameter,no,none,real,0,999,0,yes
89,GENERAL,gwflow.input,gwflow,elev,elev,delimited,3,41,gwflow_input,elev,Elevation,no,m,real,0,999,0,yes
90,GENERAL,gwflow.input,gwflow,thck,thck,delimited,4,41,gwflow_input,thck,Thck parameter,no,none,real,0,999,0,yes
91,GENERAL,gwflow.input,gwflow,K_zone,K_zone,delimited,5,41,gwflow_input,K_zone,K Zone parameter,no,none,real,0,999,0,yes
92,GENERAL,gwflow.input,gwflow,Sy_zone,Sy_zone,delimited,6,41,gwflow_input,Sy_zone,Sy Zone parameter,no,none,real,0,999,0,yes
93,GENERAL,gwflow.input,gwflow,delay,delay,delimited,7,41,gwflow_input,delay,Delay parameter,no,none,real,0,999,0,yes
94,GENERAL,gwflow.input,gwflow,exdp,exdp,delimited,8,41,gwflow_input,exdp,Exdp parameter,no,m,real,0,999,0,yes
95,GENERAL,gwflow.input,gwflow,init,init,delimited,9,41,gwflow_input,init,Init parameter,no,none,real,0,999,0,yes
96,GENERAL,gwflow.input,gwflow,xcrd,xcrd,delimited,10,41,gwflow_input,xcrd,Xcrd parameter,no,none,real,0,999,0,yes
97,GENERAL,gwflow.input,gwflow,ycrd,ycrd,delimited,11,41,gwflow_input,ycrd,Ycrd parameter,no,none,real,0,999,0,yes
98,GENERAL,gwflow.input,gwflow,area,area,delimited,12,41,gwflow_input,area,Area,no,ha,real,0,100000,0,yes
99,GENERAL,gwflow.input,gwflow,ncon,ncon,delimited,13,41,gwflow_input,ncon,Ncon parameter,no,none,real,0,999,0,yes
100,GENERAL,gwflow.input,gwflow,ncon,ncon,delimited,14,41,gwflow_input,ncon,Ncon parameter,no,none,real,0,999,0,yes
101,GENERAL,gwflow.input,gwflow,gw_output_yr,gw_output_yr,delimited,1,42,gwflow_input,gw_output_yr,Gw Output Yr parameter,no,none,logical,0,2100,n,yes
102,GENERAL,gwflow.input,gwflow,gw_output_day,gw_output_day,delimited,2,42,gwflow_input,gw_output_day,Gw Output Day parameter,no,none,logical,0,999,n,yes
