Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
66,CHANNEL,channel.cha,cha_dat,id,id,delimited,1,1,channel_cha,id,Channel data unique identifier,no,none,integer,1,9999,1,yes
67,CHANNEL,channel.cha,cha_dat,name,name,delimited,2,1,channel_cha,name,Channel data name,no,none,string,,,cha_dat,yes
68,CHANNEL,channel.cha,cha_dat,description,description,delimited,3,1,channel_cha,description,Channel description,no,none,string,,,Channel data,yes
69,CHANNEL,channel.cha,cha_dat,init,init,delimited,4,1,channel_cha,init,Initial channel properties,no,none,string,,,init_cha1,yes
70,CHANNEL,channel.cha,cha_dat,hyd,hyd,delimited,5,1,channel_cha,hyd,Channel hydrology reference,no,none,string,,,hyd_cha1,yes
71,CHANNEL,channel.cha,cha_dat,sed,sed,delimited,6,1,channel_cha,sed,Channel sediment reference,no,none,string,,,sed_cha1,yes
72,CHANNEL,channel.cha,cha_dat,nut,nut,delimited,7,1,channel_cha,nut,Channel nutrient reference,no,none,string,,,nut_cha1,yes
172,CHANNEL,channel.out,channel_out,id,id,delimited,1,1,channel_out,id,Channel output identifier,no,none,integer,1,9999,1,yes
173,CHANNEL,channel.out,channel_out,name,name,delimited,2,1,channel_out,name,Channel output name,no,none,string,,,channel1,yes
174,CHANNEL,channel.out,channel_out,gis_id,gis_id,delimited,3,1,channel_out,gis_id,GIS identifier,no,none,integer,1,999999,1,yes
175,CHANNEL,channel.out,channel_out,area,area,delimited,4,1,channel_out,area,Drainage area,no,km2,real,0.01,50000,1,yes
176,CHANNEL,channel.out,channel_out,precip,precip,delimited,5,1,channel_out,precip,Precipitation,no,mm,real,0,2000,0,yes
177,CHANNEL,channel.out,channel_out,snofall,snofall,delimited,6,1,channel_out,snofall,Snowfall,no,mm,real,0,1000,0,yes
178,CHANNEL,channel.out,channel_out,snomlt,snomlt,delimited,7,1,channel_out,snomlt,Snow melt,no,mm,real,0,1000,0,yes
179,CHANNEL,channel.out,channel_out,surq_gen,surq_gen,delimited,8,1,channel_out,surq_gen,Surface runoff generation,no,mm,real,0,500,0,yes
180,CHANNEL,channel.out,channel_out,latq_gen,latq_gen,delimited,9,1,channel_out,latq_gen,Lateral flow generation,no,mm,real,0,200,0,yes
181,CHANNEL,channel.out,channel_out,wateryld,wateryld,delimited,10,1,channel_out,wateryld,Water yield,no,mm,real,0,1000,0,yes
182,CHANNEL,channel.out,channel_out,perc,perc,delimited,11,1,channel_out,perc,Percolation,no,mm,real,0,500,0,yes
183,CHANNEL,channel.out,channel_out,et,et,delimited,12,1,channel_out,et,Evapotranspiration,no,mm,real,0,1500,0,yes
184,CHANNEL,channel.out,channel_out,tloss,tloss,delimited,13,1,channel_out,tloss,Transmission losses,no,mm,real,0,100,0,yes
185,CHANNEL,channel.out,channel_out,sed_out,sed_out,delimited,14,1,channel_out,sed_out,Sediment output,no,tons,real,0,100000,0,yes
186,CHANNEL,channel.out,channel_out,sed_conc,sed_conc,delimited,15,1,channel_out,sed_conc,Sediment concentration,no,mg/L,real,0,100000,0,yes
187,CHANNEL,channel.out,channel_out,orgn_out,orgn_out,delimited,16,1,channel_out,orgn_out,Organic nitrogen output,no,kg N,real,0,10000,0,yes
188,CHANNEL,channel.out,channel_out,orgp_out,orgp_out,delimited,17,1,channel_out,orgp_out,Organic phosphorus output,no,kg P,real,0,1000,0,yes
189,CHANNEL,channel.out,channel_out,no3_out,no3_out,delimited,18,1,channel_out,no3_out,Nitrate output,no,kg N,real,0,10000,0,yes
190,CHANNEL,channel.out,channel_out,solp_out,solp_out,delimited,19,1,channel_out,solp_out,Soluble phosphorus output,no,kg P,real,0,1000,0,yes
191,CHANNEL,channel.out,channel_out,nh3_out,nh3_out,delimited,20,1,channel_out,nh3_out,Ammonia output,no,kg N,real,0,1000,0,yes
192,CHANNEL,channel.out,channel_out,no2_out,no2_out,delimited,21,1,channel_out,no2_out,Nitrite output,no,kg N,real,0,1000,0,yes
193,CHANNEL,channel.out,channel_out,chla_out,chla_out,delimited,22,1,channel_out,chla_out,Chlorophyll-a output,no,mg/L,real,0,1000,0,yes
598,CHANNEL,channel.cha,sdchannel,k,k,delimited,1,1,sd_channel_read,k,Hydraulic conductivity for sd channel read,no,none,real,0,999,0,yes
599,CHANNEL,channel.cha,sdchannel,sd_dat(i)%name,sd_dat(i)%name,delimited,1,1,sd_channel_read,sd_dat(i)%name,Name or label for sd channel read,no,none,string,0,999,default,yes
600,CHANNEL,channel.cha,sdchannel,sd_dat(i)%initc,sd_dat(i)%initc,delimited,1,1,sd_channel_read,sd_dat(i)%initc,Initial value for sd channel read,no,none,real,0,999,0,yes
601,CHANNEL,channel.cha,sdchannel,sd_dat(i)%hydc,sd_dat(i)%hydc,delimited,1,1,sd_channel_read,sd_dat(i)%hydc,hydc parameter for sd channel read,no,none,real,0,999,0,yes
602,CHANNEL,channel.cha,sdchannel,sd_dat(i)%sedc,sd_dat(i)%sedc,delimited,1,1,sd_channel_read,sd_dat(i)%sedc,sedc parameter for sd channel read,no,tons/ha,real,0,999,0,yes
603,CHANNEL,channel.cha,sdchannel,sd_dat(i)%nutc,sd_dat(i)%nutc,delimited,1,1,sd_channel_read,sd_dat(i)%nutc,nutc parameter for sd channel read,no,none,real,0,999,0,yes
29,CONNECT,hru.con,hru_con,id,id,delimited,1,1,hru_con,id,HRU unique identifier,no,none,integer,1,9999,1,yes
30,CONNECT,hru.con,hru_con,name,name,delimited,2,1,hru_con,name,HRU name,no,none,string,,,hru,yes
31,CONNECT,hru.con,hru_con,gis_id,gis_id,delimited,3,1,hru_con,gis_id,GIS identifier,no,none,string,,,1,yes
32,CONNECT,hru.con,hru_con,area,area,delimited,4,1,hru_con,area,HRU area,no,ha,real,0.01,100000,1.0,yes
33,CONNECT,hru.con,hru_con,lat,lat,delimited,5,1,hru_con,lat,Latitude,no,deg,real,-90,90,40.0,yes
34,CONNECT,hru.con,hru_con,lon,lon,delimited,6,1,hru_con,lon,Longitude,no,deg,real,-180,180,-95.0,yes
35,CONNECT,hru.con,hru_con,elev,elev,delimited,7,1,hru_con,elev,Elevation,no,m,real,1,7000,300,yes
36,CONNECT,hru.con,hru_con,hru,hru,delimited,8,1,hru_con,hru,HRU data reference,no,none,integer,1,9999,1,yes
37,CONNECT,hru.con,hru_con,wst,wst,delimited,9,1,hru_con,wst,Weather station number,no,none,string,,,wst1,yes
38,CONNECT,hru.con,hru_con,cst,cst,delimited,10,1,hru_con,cst,Constituent data pointer,no,none,integer,1,9999,1,yes
39,CONNECT,hru.con,hru_con,ovfl,ovfl,delimited,11,1,hru_con,ovfl,Overflow connections pointer,no,none,integer,0,9999,0,yes
40,CONNECT,hru.con,hru_con,rule,rule,delimited,12,1,hru_con,rule,Ruleset pointer,no,none,integer,0,9999,0,yes
41,CONNECT,hru.con,hru_con,out_tot,out_tot,delimited,13,1,hru_con,out_tot,Total outgoing hydrographs,no,none,integer,1,12,1,yes
42,CONNECT,channel.con,cha_con,id,id,delimited,1,1,channel_con,id,Channel unique identifier,no,none,integer,1,9999,1,yes
43,CONNECT,channel.con,cha_con,name,name,delimited,2,1,channel_con,name,Channel name,no,none,string,,,cha,yes
44,CONNECT,channel.con,cha_con,gis_id,gis_id,delimited,3,1,channel_con,gis_id,GIS identifier,no,none,string,,,1,yes
45,CONNECT,channel.con,cha_con,area,area,delimited,4,1,channel_con,area,Channel area,no,ha,real,0.01,100000,1.0,yes
