Swat_code_type,Parameter_Count,Primary_Classification,Data_Types
gwflow_read,530,GENERAL,"real, datetime, string"
gwflow_simulate,350,GENERAL,"real, integer, datetime"
output_landscape_init,258,GENERAL,"real, string"
header_salt,257,GENERAL,"string, real, integer"
header_const,257,GENERAL,"string, real, integer"
basin_print_codes_read,239,BASIN,"string, real, integer"
hru_control,191,HRU,"real, integer, datetime"
actions,166,GENERAL,"real, integer, string"
swift_output,150,GENERAL,"real, string, integer"
soil_nutcarb_write,135,SOIL,"real, datetime, integer"
allocate_parms,132,GENERAL,real
mgt_sched,117,MANAGEMENT,"real, integer, datetime"
command,101,GENERAL,"real, integer, datetime"
header_write,95,BASIN,"string, real, datetime"
hru_cs_output,90,HRU,"real, datetime, integer"
hru_salt_output,86,HRU,"real, datetime, integer"
time_control,81,SIMULATION,"real, datetime, string"
sd_channel_read,79,GENERAL,"real, string"
header_cs,79,GENERAL,"real, string, integer"
obj_output,75,GENERAL,"real, datetime, string"
ru_salt_output,72,GENERAL,"real, datetime, integer"
ru_cs_output,72,GENERAL,"real, datetime, integer"
header_pest,70,BASIN,"string, real"
hru_output,60,HRU,"real, datetime, integer"
hru_output_allo,60,HRU,real
res_cs_output,58,RESERVOIR,"real, datetime, integer"
hyd_connect,57,GENERAL,"real, integer"
hyd_read_connect,56,GENERAL,"real, integer, string"
calsoft_control,55,GENERAL,"real, string, integer"
sd_channel_control,55,GENERAL,"real, integer, datetime"
wet_cs_output,54,WETLAND,"real, datetime, integer"
lsu_output,53,GENERAL,"real, integer, datetime"
sd_channel_output,52,GENERAL,"real, datetime, integer"
lsreg_output,51,GENERAL,"real, integer, datetime"
cli_wgnread,50,CLIMATE,"real, integer"
aqu_cs_output,50,AQUIFER,"real, datetime, integer"
hru_hyds,47,HRU,real
reg_read_elements,47,GENERAL,"real, integer, string"
wetland_control,47,GENERAL,real
wet_salt_output,46,WETLAND,"real, datetime, integer"
plant_init,46,PLANT,real
carbon_coef_read,46,GENERAL,"string, real, integer"
water_allocation_read,46,GENERAL,"real, string, integer"
res_salt_output,46,RESERVOIR,"real, datetime, integer"
proc_hru,44,GENERAL,"real, integer, string"
